Line,No,REGIST,MIC001,MIC004,CHART,MIC005,MIC006,MIC007,MIC008,MI0002,MI0001,MCE0040,MI0979,MI1070,MI0959,MI0248,備考
,52,,6750,エレコム,,東Ｐ,電気機器,電子部品・産業用電子機器,パソコン・周辺機器,"1,333.52","1,446.0",4.00,3.31,ＰＣ周辺機器のファブレスメーカー。マウス、キーボード、スマホ関連で首位。法人向け強化中,9.73,-7.47,
,53,,6996,ニチコン,,東Ｐ,電気機器,電子部品・産業用電子機器,コンデンサー,824.46,"1,057.0",1.00,3.21,車や家電等で使われるコンデンサーを製販。次世代車向け育成中。家庭用蓄電システムも展開,5.50,0.00,
,54,,7164,全国保証,,東Ｐ,その他金融業,金融サービス,金融保証会社,"3,684.64","5,350.0",27.00,4.37,住宅ローン保証の最大手。独立系。Ｍ＆Ａに積極的。事業領域拡大目指しベンチャー投資も,13.32,-2.47,
,55,,7208,カネミツ,,東Ｓ,輸送用機器,自動車部品,自動車部品(駆動系),42.62,831.0,0.50,3.61,エンジン動力伝達の自動車用プーリ（滑車）で国内首位。日本の全自動車メーカーと取引実績,4.82,0.00,
,56,,7313,テイ・エス テック,,東Ｐ,輸送用機器,自動車部品,自動車部品(内装),"2,369.12","1,742.0",10.00,4.76,ホンダ系の４輪シート部品メーカー。２輪車用も手がける。約９割がホンダグループ向け,3.67,0.00,
,57,,7438,コンドーテック,,東Ｐ,卸売業,建設関連製品・設備,建設資材販売,348.27,"1,322.0",6.00,3.63,足場吊りチェーン、結合金具等の産業資材大手。鉄構資材等も。仕入れ販売中心だが一部は内製,9.73,0.00,
,58,,7466,SPK,,東Ｐ,卸売業,自動車部品,自動車部品卸売り,216.81,"2,074.0",10.00,3.13,自動車用補修・車検部品の卸。建機組み付けも。連続増配期数は全上場会社中２位。好財務,10.37,6.56,
,59,,7520,エコス,,東Ｐ,小売業,コンビニ・食品小売り,食品スーパー・小売り,237.87,"2,042.0",0.00,3.18,東京・多摩地区から北関東へ『ＴＡＩＲＡＹＡ』『エコス』等食品スーパーを展開。Ｍ＆Ａで成長,16.75,―,
,60,,7613,シークス,,東Ｐ,卸売業,電子部品・産業用電子機器,電子機器・部品販売,581.61,"1,154.0",4.00,4.15,電子機器の製造受託（ＥＭＳ）国内トップ。調達・組み立てまで一貫、商社機能も。車載関連が成長,5.16,0.00,
,61,,7990,グローブライド,,東Ｐ,その他製品,娯楽用品,アウトドア,451.68,"1,882.0",10.00,4.25,『ダイワ』ブランドの釣り具で世界トップ。ゴルフ、テニスなど総合志向。上期に利益偏重,6.45,3.63,
,62,,8012,長瀬産業,,東Ｐ,卸売業,化学,化学品商社,"3,442.65","2,996.0",10.00,3.00,電子材料・合成樹脂等の化学品専門商社首位。医薬中間体等も展開。傘下にバイオの旧林原も,7.35,4.10,
,63,,8015,豊田通商,,東Ｐ、名Ｐ,卸売業,総合商社,総合商社,"28,115.62","2,647.0",6.67,3.77,トヨタ系の総合商社、０６年トーメン合併。自動車関連事業で営業利益の７割稼ぐ。アフリカ強い,14.18,―,
,64,,8037,カメイ,,東Ｐ,卸売業,燃料・資源,燃料商社,655.60,"1,744.0",8.00,3.21,東北最大の石油・ＬＰガス卸。傘下にトヨタ販社。異業種含めたＭ＆Ａ駆使し多角化を志向,6.29,0.00,
