stock_code,company_name,market_cap,bs_securities_assets,pl_dividend_income,asset_ratio,dividend_ratio
8043,スターゼン株式会社,21571810000.0,21597000000.0,179000000.0,1.0,0.01
7269,スズキ株式会社,3246479026000.0,276650000000.0,61379000000.0,0.09,0.22
3660,株式会社アイスタイル,44967903336.0,3557000000.0,7000000.0,0.08,0.0
3659,株式会社ネクソン,2345782533500.0,814000000.0,103980000000.0,0.0,127.74
8892,株式会社エスコン,99566695870.0,19546000000.0,119000000.0,0.2,0.01
9997,株式会社ベルーナ,93645972000.0,14576000000.0,479000000.0,0.16,0.03
4370,モビルス株式会社,2473101036.0,0.0,0.0,0.0,0.0
7084,株式会社Ｓｍｉｌｅ　Ｈｏｌｄｉｎｇｓ,5952366000.0,16095000.0,1653000.0,0.0,0.1
4659,株式会社エイジス,32636736000.0,3284278000.0,6099000.0,0.1,0.0
3195,株式会社ジェネレーションパス,3236400840.0,0.0,92615000.0,0.0,0.0
4021,日産化学株式会社,639950400000.0,24353000000.0,1724000000.0,0.04,0.07
3667,株式会社ｅｎｉｓｈ,3221227200.0,40659000.0,0.0,0.01,0.0
9213,株式会社セイファート,1034186400.0,18327000.0,1952000.0,0.02,0.11
3983,株式会社オロ,49761875240.0,0.0,106630000.0,0.0,0.0
9324,安田倉庫株式会社,55285560000.0,63949000000.0,2129000000.0,1.16,0.03
2816,株式会社ダイショー,13816320000.0,259000000.0,5000000.0,0.02,0.02
2221,岩塚製菓株式会社,35418460000.0,63601080000.0,2868548000.0,1.8,0.05
6643,株式会社戸上電機製作所,17968320000.0,1879209000.0,58800000.0,0.1,0.03
9993,株式会社ヤマザワ,12561105450.0,437000000.0,12000000.0,0.03,0.03
3196,株式会社ホットランドホールディングス,43289544400.0,376061000.0,25021000.0,0.01,0.07
6504,富士電機株式会社,998043760000.0,108713000000.0,2790000000.0,0.11,0.03
5947,リンナイ株式会社,529939504000.0,35919000000.0,560000000.0,0.07,0.02
4575,株式会社キャンバス,18420175410.0,0.0,0.0,0.0,0.0
4381,ビープラッツ株式会社,1236187941.0,0.0,0.0,0.0,0.0
1909,日本ドライケミカル株式会社,37341200000.0,2045477000.0,58100000.0,0.05,0.03
7060,ギークス株式会社,5123912624.0,25895000.0,1783000.0,0.01,0.07
3985,テモナ株式会社,3267719312.0,2250000.0,0.0,0.0,0.0
3571,株式会社ソトー,9697368000.0,6572750000.0,137780000.0,0.68,0.02
5658,日亜鋼業株式会社,16302975570.0,17628222000.0,362371000.0,1.08,0.02
6663,太洋テクノレックス株式会社,1605963200.0,338775000.0,9538000.0,0.21,0.03
5952,アマテイ株式会社,2007671000.0,0.0,29920000.0,0.0,0.0
9173,東海汽船株式会社,6492200000.0,547171000.0,8998000.0,0.08,0.02
4005,住友化学株式会社,604884205000.0,76403000000.0,57095000000.0,0.13,0.75
4970,東洋合成工業株式会社,38762536400.0,472000000.0,13000000.0,0.01,0.03
