stock_code,company_name,market_cap,bs_securities_assets,pl_dividend_income,current_net_sales,operating_income,asset_ratio,dividend_ratio,operating_margin,sales_growth_rate
7084,株式会社Ｓｍｉｌｅ　Ｈｏｌｄｉｎｇｓ,5952366000.0,16095000.0,1653000.0,13656500000.0,410583000.0,0.0,0.1,3.01,6.13
4659,株式会社エイジス,32636736000.0,3284278000.0,6099000.0,33960587000.0,3032232000.0,0.1,0.0,8.93,13.22
3195,株式会社ジェネレーションパス,3236400840.0,0.0,92615000.0,16235491000.0,81766000.0,0.0,0.0,0.5,7.15
4021,日産化学株式会社,639950400000.0,24353000000.0,1724000000.0,251365000000.0,56833000000.0,0.04,0.07,22.61,10.88
3667,株式会社ｅｎｉｓｈ,3221227200.0,40659000.0,0.0,3317109000.0,0.0,0.01,0.0,0.0,-5.46
9213,株式会社セイファート,1034186400.0,18327000.0,1952000.0,2130602000.0,21661000.0,0.02,0.11,1.02,-1.68
3983,株式会社オロ,49761875240.0,0.0,106630000.0,7483563000.0,2597568000.0,0.0,0.0,34.71,11.55
9324,安田倉庫株式会社,55285560000.0,63949000000.0,2129000000.0,0.0,3515000000.0,1.16,0.03,0.0,0.0
2816,株式会社ダイショー,13816320000.0,259000000.0,5000000.0,26241000000.0,656000000.0,0.02,0.02,2.5,3.51
2221,岩塚製菓株式会社,35418460000.0,63601080000.0,2868548000.0,24954321000.0,815214000.0,1.8,0.05,3.27,13.43
6643,株式会社戸上電機製作所,17968320000.0,1879209000.0,58800000.0,27648124000.0,3369648000.0,0.1,0.03,12.19,3.43
9993,株式会社ヤマザワ,12561105450.0,437000000.0,12000000.0,102558000000.0,9000000.0,0.03,0.03,0.01,0.65
3196,株式会社ホットランドホールディングス,43289544400.0,376061000.0,25021000.0,46126297000.0,2545135000.0,0.01,0.07,5.52,19.16
6504,富士電機株式会社,998043760000.0,108713000000.0,2790000000.0,1123407000000.0,117646000000.0,0.11,0.03,10.47,1.83
5947,リンナイ株式会社,529939504000.0,35919000000.0,560000000.0,460319000000.0,46005000000.0,0.07,0.02,9.99,7.0
4575,株式会社キャンバス,18420175410.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4381,ビープラッツ株式会社,1236187941.0,0.0,0.0,706256000.0,0.0,0.0,0.0,0.0,-21.35
1909,日本ドライケミカル株式会社,37341200000.0,2045477000.0,58100000.0,55727078000.0,6128252000.0,0.05,0.03,11.0,-0.27
7060,ギークス株式会社,5123912624.0,25895000.0,1783000.0,25162448000.0,495539000.0,0.01,0.07,1.97,5.99
3985,テモナ株式会社,3267719312.0,2250000.0,0.0,1825900000.0,0.0,0.0,0.0,0.0,-22.0
3571,株式会社ソトー,9697368000.0,6572750000.0,137780000.0,10043078000.0,53339000.0,0.68,0.02,0.53,-6.22
5658,日亜鋼業株式会社,16302975570.0,17628222000.0,362371000.0,34126910000.0,1349450000.0,1.08,0.02,3.95,-1.07
6663,太洋テクノレックス株式会社,1605963200.0,338775000.0,9538000.0,3519300000.0,332803000.0,0.21,0.03,9.46,3.16
5952,アマテイ株式会社,2007671000.0,0.0,29920000.0,5583425000.0,239157000.0,0.0,0.0,4.28,0.89
9173,東海汽船株式会社,6492200000.0,547171000.0,8998000.0,14604623000.0,582429000.0,0.08,0.02,3.99,10.84
4005,住友化学株式会社,604884205000.0,76403000000.0,57095000000.0,856554000000.0,59653000000.0,0.13,0.75,6.96,5.81
